AppID,Name,Releasedate,Requiredage,Price,DLCcount,Windows,Mac,Linux,Achievements,Developers,Publishers,Categories,Genres,Positive,Negative
1642940,Hidden Office,21-Oct-21,0,4.99,0,TRUE,FALSE,FALSE,31,Anna Sevryugina,Anna Sevryugina,"Single-player,Steam Achievements","Casual,Indie",19,1
839260,Russian AYE Horror,18-Apr-18,0,0.49,0,TRUE,FALSE,FALSE,5,"Nikita ""Ghost_RUS""",Ghost_RUS Games,"Single-player,Steam Achievements","Adventure,Indie,Simulation",70,52
34315,Alien Storm,26-Oct-10,0,0.99,0,TRUE,TRUE,TRUE,0,SEGA,SEGA,"Single-player,Multi-player,Shared/Split Screen,Partial Controller Support,Remote Play Together",Action,7,0
1912620,Natalia,02-Mar-22,0,9.99,0,TRUE,FALSE,FALSE,0,MagicHouse,MagicHouse,Single-player,"Adventure,Indie",0,0
685670,Know by heart,10-Feb-22,0,19.99,1,TRUE,FALSE,FALSE,20,Ice-Pick Lodge,Ice-Pick Lodge,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Adventure,Indie",407,61
711240,Grand Academy for Future Villains,14-Sep-17,0,4.99,0,TRUE,TRUE,TRUE,25,Choice of Games,Choice of Games,"Single-player,Steam Achievements,Captions available,Steam Cloud","Adventure,Indie,RPG",14,5
1924440,Directly Drink Milk from Cow ?????????,30-Mar-22,0,7.49,0,TRUE,FALSE,FALSE,19,Boujin ????,Boujin ????,"Single-player,Steam Achievements,Partial Controller Support","Casual,Indie,Simulation",9,3
626570,Microcosm,01-Jun-17,0,0,0,TRUE,FALSE,FALSE,0,paulstraw,paulstraw,"Single-player,Steam Cloud","Casual,Indie,Simulation,Early Access",4,0
1836860,Neptunia x SENRAN KAGURA: Ninja Wars,11-May-22,0,49.99,0,TRUE,FALSE,FALSE,46,"Idea Factory,Compile Heart,Tamsoft",Idea Factory International,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,RPG",449,99
1148540,Griddlers Victorian Picnic,27-Oct-19,0,4.99,0,TRUE,TRUE,FALSE,0,Big Up Studio,8floor,Single-player,Casual,3,4
1335680,The Kind Camomille,10-Jul-21,0,9.99,0,TRUE,FALSE,FALSE,48,Xavier Moiny,Xavier Moiny,"Single-player,Steam Achievements,Full controller support","Adventure,Indie",18,11
855320,The 18th Floor,04-Jul-18,0,14.99,0,TRUE,FALSE,FALSE,14,Aoga Games,Aoga Games,"Single-player,Steam Achievements","Adventure,Casual,Indie",17,16
1297000,Coronator,19-May-20,0,0.99,0,TRUE,FALSE,FALSE,0,Guki Games,Guki Games,Single-player,"Casual,Indie",0,0
643960,Cursed Treasure 2,21-Jul-17,0,4.99,0,TRUE,TRUE,TRUE,53,IriySoft,Armor Games Studios,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,Strategy",321,55
1651030,Dandy & Randy DX,29-Apr-22,0,4.54,0,TRUE,FALSE,FALSE,17,Asteristic Game Studio,Ratalaika Games S.L.,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Partial Controller Support,Remote Play Together","Action,Adventure,Casual,Indie",7,1
377500,Prismatica,01-Jul-15,0,4.99,0,TRUE,TRUE,FALSE,0,Loomus Games,Loomus Games,Single-player,"Casual,Indie,Strategy",34,5
465490,Stellar Tactics,22-Sep-16,0,19.99,0,TRUE,FALSE,FALSE,0,Maverick Games,Maverick Games,"Single-player,Steam Cloud","Adventure,Indie,RPG,Strategy,Early Access",886,169
